post_id,author_public_id,linkedin_url,likes,comments,shares,total_engagement,comment_ratio,share_ratio,word_count,char_count,hashtag_count,emoji_count,has_media,is_job_post,hour_of_day,day_of_week
7478784571371786240,helena-vilches,https://www.linkedin.com/posts/helena-vilches_hiring-fintech-operations-activity-7478784571371786240-j3p3,40,2,6,48,0.05,0.15,75,465,6,5,False,True,12,Friday
7478740371892563968,,https://www.linkedin.com/posts/fintechnewsph_fintechph-philippinefintech-digitalfinance-activity-7478740371892563968-uvkf,2,10,0,12,5.0,0.0,140,983,14,2,False,False,9,Friday
7478756415806009344,theodoralau,https://www.linkedin.com/posts/theodoralau_ai-fintech-financialservices-activity-7478756415806009344-sSgr,38,10,2,50,0.263,0.053,137,816,5,1,False,False,10,Friday
7478767753508605952,vertexxnetwork,https://www.linkedin.com/posts/vertexxnetwork_now-hiring-cto-co-founder-activity-7478767753508605952-rD_R,8,6,0,14,0.75,0.0,223,1531,0,18,False,False,11,Friday
7478699404460310528,,https://www.linkedin.com/posts/apptunix-europe_compliance-has-become-one-of-the-biggest-activity-7478699404460310528-bSjY,5,0,0,5,0.0,0.0,72,495,0,0,False,False,6,Friday
7478766993043726336,,https://www.linkedin.com/posts/payomatixinstitute_payomatixpaymentsinstitute-ppi-fintechcareers-activity-7478766993043726336-IHVO,14,2,6,22,0.143,0.429,113,838,7,3,False,False,11,Friday
7478734794810617856,,https://www.linkedin.com/posts/payment-gateway-software_paymentorchestration-openfinance-fintechinnovation-activity-7478734794810617856-5Yab,0,0,0,0,,,101,834,7,5,False,False,9,Friday
7478692044329086976,rohit-gupta-44a7a730b,https://www.linkedin.com/posts/rohit-gupta-44a7a730b_latinamericafintechmarket-fintech-digitalbanking-activity-7478692044329086976-iBNm,1,0,0,1,0.0,0.0,156,1291,15,0,False,False,6,Friday
7478405903784939521,,https://www.linkedin.com/posts/elcoin_fintech-neobank-digitalbanking-activity-7478405903784939521-7f0S,7,1,1,9,0.143,0.143,150,1108,10,4,False,False,11,Thursday
7478785423494791168,giovanni-andreoni-63ab51173,https://www.linkedin.com/posts/giovanni-andreoni-63ab51173_here-we-go-i-officially-join-solidgate-activity-7478785423494791168-jcYv,65,29,0,94,0.446,0.0,118,707,0,2,True,False,12,Friday
7478802237939576833,,https://www.linkedin.com/posts/digipay-ewallet_fintechstartupinkenya-fintechkenya-digitalfintechsoftware-activity-7478802237939576833-5DNh,0,0,0,0,,,172,1317,15,4,False,False,13,Friday
7478741494607220736,nick-lee-97b2557,https://www.linkedin.com/posts/nick-lee-97b2557_were-hiring-in-the-uae-are-you-activity-7478741494607220736-Se41,83,4,2,89,0.048,0.024,143,958,0,2,False,True,9,Friday
7478296403379834881,swahapatra,https://www.linkedin.com/posts/swahapatra_agenticai-fintech-indiafintech-activity-7478296403379834881-D6yM,16,3,0,19,0.188,0.0,63,422,10,1,False,False,4,Thursday
7477960118299672576,prince-kumar-aa5729387,https://www.linkedin.com/posts/prince-kumar-aa5729387_fintech-fintechdevelopment-mobileappdevelopment-activity-7477960118299672576-CR16,8,1,0,9,0.125,0.0,127,956,12,7,False,False,5,Wednesday
7478778157664243712,damilola-akinrinmade199913,https://www.linkedin.com/posts/damilola-akinrinmade199913_fintech-fintechlaw-startup-activity-7478778157664243712-Df-9,2,0,0,2,0.0,0.0,42,320,7,0,False,False,11,Friday
7478783176455168000,william-h-d256,https://www.linkedin.com/posts/william-h-d256_islamic-fintech-is-reshaping-digital-finance-activity-7478783176455168000-bYSg,1,0,0,1,0.0,0.0,68,531,0,0,False,False,12,Friday
7478014545731588098,topealabi,https://www.linkedin.com/posts/topealabi_a-surprising-amount-of-working-at-a-fintech-activity-7478014545731588098-oGO4,31,3,0,34,0.097,0.0,84,520,0,0,False,False,9,Wednesday
7478809858033524736,,https://www.linkedin.com/posts/fathom4sight_fintech-fintechnews-canada-activity-7478809858033524736-7WzC,1,1,0,2,1.0,0.0,312,2238,11,10,False,False,14,Friday
7478715246442979328,,https://www.linkedin.com/posts/itexus-fintech-software_this-weeks-fintech-deals-reveal-where-fintech-activity-7478715246442979328-OaoN,6,0,0,6,0.0,0.0,127,888,0,1,False,False,7,Friday
7478684333936078848,wojsol,https://www.linkedin.com/posts/wojsol_we-are-looking-for-a-rare-type-of-engineer-activity-7478684333936078848-Wvqf,48,11,1,60,0.229,0.021,133,879,0,0,False,False,5,Friday
